stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00096P,,Badan Penghubung Sulawesi Tengah,,-6.175029,106.80734,1,,0,2,,
B00098P,,Baileys Lagoon City,,-6.315461,106.74677,1,,0,2,,
B00099P,,Bakti Mulia 400,,-6.275838,106.77675,1,,0,2,,
B00100P,,Baladewa Residence,,-6.229648,106.91038,1,,0,2,,
B00101P,,Balai Kartini,,-6.234791,106.82457,1,,0,2,,
B00102P,,Balai Kota 1,,-6.180598,106.82847,1,,0,2,,
B00103P,,Balai Nikah Kembangan Utara,,-6.181467,106.73448,1,,0,2,,
B00104P,,Balai Pertamina,,-6.229555,106.79052,1,,0,2,,
B00105P,,Balai Sudirman,,-6.227043,106.84742,1,,0,2,,
B00106P,,Balai Kota Depok 2,,-6.394973,106.82277,1,,0,2,,
B00107P,,Bamed Health Care,,-6.203485,106.73102,1,,0,2,,
B00108P,,Bandar Djakarta Bekasi,,-6.227085,106.99683,1,,0,2,,
B00109P,,Bangau VI,,-6.169278,106.84271,1,,0,2,,
B00110P,,Bangunan Timur 1,,-6.189634,106.88551,1,,0,2,,
B00111P,,Bangunan Timur 2,,-6.189526,106.88571,1,,0,2,,
B00113P,,Bank Indonesia 2,,-6.182667,106.82275,1,,0,2,,
B00114P,,UPT. LLHD 1,,-6.22577,106.83507,1,,0,2,,
B00115P,,UPT. LLHD 2,,-6.225501,106.83489,1,,0,2,,
B00116P,,Bapindo Menteng,,-6.187095,106.83566,1,,0,2,,
B00117P,,Batalyon Kavaleri 1,,-6.252806,106.65064,1,,0,2,,
B00118P,,Batalyon Kavaleri 2,,-6.252704,106.65081,1,,0,2,,
B00119P,,Batan H Kaman,,-6.296551,106.77338,1,,0,2,,
B00120P,,Baung,,-6.302036,106.83656,1,,0,2,,
B00121P,,Baywalk 1,,-6.109908,106.77828,1,,0,2,,
B00122P,,Baywalk 2,,-6.110359,106.77961,1,,0,2,,
B00123P,,BBPK Jakarta,,-6.302219,106.798,1,,0,2,,
B00124P,,Bella Terra,,-6.175296,106.89567,1,,0,2,,
B00125P,,Benhil 1,,-6.217304,106.8154,1,,0,2,,
B00126P,,Benhil 2,,-6.216775,106.8154,1,,0,2,,
B00128P,,Benteng Betawi,,-6.174158,106.65559,1,,0,2,,
B00130P,,Bermis 1,,-6.178022,106.89853,1,,0,2,,
B00131P,,Bermis 2,,-6.178353,106.89841,1,,0,2,,
B00132P,,Beverly Tower,,-6.291805,106.78636,1,,0,2,,
B00133P,,Bhayangkara 1,,-6.236949,106.64549,1,,0,2,,
B00134P,,Bhayangkara 2,,-6.236714,106.64559,1,,0,2,,
B00135P,,Bidan Ningsih Joglo,,-6.216023,106.72909,1,,0,2,,
B00136P,,Bidara 1,,-6.106097,106.9595,1,,0,2,,
B00137P,,Bidara 2,,-6.106075,106.95942,1,,0,2,,
B00138P,,Bidara Cina 1,,-6.229954,106.86735,1,,0,2,,
B00139P,,Bidara Cina 2,,-6.22994,106.86709,1,,0,2,,
B00140P,,Billy Moon,,-6.248271,106.93093,1,,0,2,,
B00141P,,Billy Moon 2,,-6.248131,106.92944,1,,0,2,,
B00142P,,Bimbel Calistung,,-6.222933,106.93901,1,,0,2,,
B00144P,,Bintaro,,-6.271245,106.75133,1,,0,2,,
B00145P,,Bintaro Gg. Masjid,,-6.27026,106.75217,1,,0,2,,
B00146P,,Bintaro Kodam,,-6.260196,106.76594,1,,0,2,,
B00147P,,Bintaro Park VIew,,-6.257977,106.75969,1,,0,2,,
B00148P,,Bintaro Xchange,,-6.286813,106.72865,1,,0,2,,
B00149P,,Binus Kampus Kijang,,-6.194535,106.78757,1,,0,2,,
B00150P,,Binus Syahdan,,-6.200725,106.78472,1,,0,2,,
B00151P,,Binus University,,-6.201811,106.78265,1,,0,2,,
B00152P,,BKKBN 1,,-6.252902,106.88084,1,,0,2,,
B00153P,,BKKBN 2,,-6.253103,106.88108,1,,0,2,,
B00154P,,BKN 1,,-6.258026,106.86955,1,,0,2,,
B00155P,,BKN 2,,-6.258262,106.86984,1,,0,2,,
B00156P,,Blok A,,-6.188462,106.81558,1,,0,2,,
B00158P,,Blok E,,-6.18497,106.81463,1,,0,2,,
B00159P,,Blok F,,-6.188552,106.81249,1,,0,2,,
B00160P,,Blue Gas Pulo Gebang,,-6.210605,106.95645,1,,0,2,,
B00163P,,BNI Syariah,,-6.227256,106.83291,1,,0,2,,
B00164P,,Bona Indah Plaza,,-6.301283,106.78084,1,,0,2,,
B00165P,,Bongkaran Tanah Abang,,-6.189421,106.81159,1,,0,2,,
B00166P,,Boulevard Bukit Gading Raya,,-6.15515,106.89579,1,,0,2,,
B00167P,,Boulevard Hijau THB,,-6.183321,106.98406,1,,0,2,,
B00168P,,Boulevard Inspeksi Kali Sunter,,-6.151094,106.88901,1,,0,2,,
B00169P,,Boulevard Janur Elok Raya 1,,-6.150581,106.90954,1,,0,2,,
B00170P,,Boulevard Janur Elok Raya 2,,-6.150553,106.90922,1,,0,2,,
B00171P,,Boulevard Kelapa Cengkir Raya,,-6.165966,106.90211,1,,0,2,,
B00172P,,Boulevard Kelapa Hybrida Raya 1,,-6.148453,106.90965,1,,0,2,,
B00173P,,Boulevard Kelapa Hybrida Raya 2,,-6.148396,106.90935,1,,0,2,,
