route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12,SH,12-R05,Tanjung Priok - Pluit,0,,l3by
12,SH,12-R04,Pluit - Tanjung Priok,1,,12-R04_shp
12A,SH,12A-R03,Pelabuhan Kali Adem - Beos,0,,12A-R03_shp
12A,SH,12A-R04,Beos - Pelabuhan Kali Adem,1,,12A-R04_shp
12B,HK,12B-R03,Pluit - Senen,0,,12B-R03_shp
12B,HK,12B-R04,Senen - Pluit,1,,12B-R04_shp
12C,SH,12C-R03,Rusun Waduk Pluit - Penjaringan,0,,12C-R03_shp
12C,SH,12C-R04,Penjaringan - Rusun Waduk Pluit,1,,12C-R04_shp
12F,SH,12F-R01,Rusun Marunda - Rusun Waduk Pluit,0,,12F-R01_shp
12F,SH,12F-R02,Rusun Waduk Pluit - Rusun Marunda,1,,12F-R02_shp
12H,SH,12H-R01,Rusun Penjaringan - Penjaringan,0,,12H-R01_shp
12H,SH,12H-R02,Penjaringan - Rusun Penjaringan,1,,12H-R02_shp
12P,SH,12P-R01,St. LRT Pegangsaan Dua - JIS,0,,12P-R01_shp
12P,SH,12P-R02,JIS - St. LRT Pegangsaan Dua,1,,12P-R02_shp
13,SH,13-R01,CBD Ciledug - Tendean,0,,13-R01_shp
13,SH,13-R02,Tendean - CBD Ciledug,1,,13-R02_shp
13C,HK,13C-R01,Puri Beta - Dukuh Atas,0,,13C-R01_shp
13C,HK,13C-R02,Dukuh Atas - Puri Beta,1,,13C-R02_shp
13D,HL,13D-R01,Puri Beta - Ragunan,0,,13D-R01_shp
13D,HL,13D-R02,Ragunan - Puri Beta,1,,13D-R02_shp
14,SH,14-R03,JIS - Senen,0,,14-R03_shp
14,SH,14-R04,Senen - JIS,1,,14-R04_shp
1A,SH,1A-R09,Pantai Maju - Balai Kota,0,,4xkx
1A,HK,1A-R10,Balai Kota - Pantai Maju,1,,jylo
1A,HL,1A-R11,Balai Kota - Pantai Maju,1,,0d6w
