route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
JAK.09,SH,JAK.09-R01,Roxy Mas - Karet,0,,JAK.09-R01_shp
JAK.10,SH,JAK.10-R03,Tanah Abang - Kota,0,,JAK.10-R03_shp
JAK.10,SH,JAK.10-R04,Kota - Tanah Abang,1,,JAK.10-R04_shp
JAK.100,SH,JAK.100-R01,Term. Pulo Gebang - Rusun Pinus Elok,0,,uzwp
JAK.100,SH,JAK.100-R02,Rusun Pinus Elok - Term. Pulo Gebang,1,,mrtt
JAK.106,SH,JAK.106-R01,Terminal Klender - Terminal Kampung Melayu,0,,JAK.106-R01_shp
JAK.106,SH,JAK.106-R03,Terminal Kampung Melayu - Terminal Klender,1,,JAK.106-R03_shp
JAK.10A,SH,JAK.10A-L01,Gondangdia - Cikini Via Salemba - Gondangdia,0,,JAK.10A-L01_shp
JAK.10B,SH,JAK.10B-L01,Gondangdia - Cikini Via Kramat - Gondangdia,0,,JAK.10B-L01_shp
JAK.11,SH,JAK.11-R01,Tanah Abang - Kebayoran Lama,0,,JAK.11-R01_shp
JAK.11,SH,JAK.11-R02,Kebayoran Lama - Tanah Abang,1,,JAK.11-R02_shp
JAK.110A,SH,JAK.110A-R01,Rusun Marunda - Terminal Terpadu Pulo Gebang,0,,JAK.110A-R01_shp
JAK.110A,SH,JAK.110A-R02,Terminal Terpadu Pulo Gebang - Rusun Marunda,1,,JAK.110A-R02_shp
JAK.112,SH,JAK.112-R01,Tanah Merah - Pulo Gadung,0,,JAK.112-R01_shp
JAK.112,SH,JAK.112-R02,Pulo Gadung - Tanah Merah,1,,JAK.112-R02_shp
JAK.113,SH,JAK.113-R03,Rusun Sindang Koja - Kampung Sawah,0,,JAK.113-R03_shp
JAK.113,SH,JAK.113-R04,Kampung Sawah - Rusun Sindang Koja,1,,JAK.113-R04_shp
JAK.115,SH,JAK.115-R03,Term. Tj. Priok - Pegangsaan II IGI,0,,JAK.115-R03_shp
JAK.115,SH,JAK.115-R04,Pegangsaan II IGI - Term. Tj. Priok,1,,JAK.115-R04_shp
JAK.117,SH,JAK.117-R01,Tanjung Priok - Tanah Merdeka,0,,JAK.117-R01_shp
JAK.117,SH,JAK.117-R02,Tanah Merdeka - Tanjung Priok,1,,JAK.117-R02_shp
JAK.118,SH,JAK.118-R03,Taman Waduk Papanggo - Kota Tua,0,,db7a
JAK.118,SH,JAK.118-R04,Kota Tua - Taman Waduk Papanggo,1,,6d8i
JAK.12,SH,JAK.12-R01,Tanah Abang - Kebayoran Lama Via Pos Pengumben,0,,JAK.12-R01_shp
JAK.12,SH,JAK.12-R02,Kebayoran Lama - Tanah Abang Via Pos Pengumben,1,,JAK.12-R02_shp
JAK.120,SH,JAK.120-R01,JIS - Terminal Muara Angke,0,,JAK.120-R01_shp
JAK.120,SH,JAK.120-R02,Terminal Muara Angke - JIS,1,,JAK.120-R02_shp
JAK.13,SH,JAK.13-R03,Tanah Abang - Jembatan Lima,0,,JAK.13-R03_shp
JAK.13,SH,JAK.13-R04,Jembatan Lima - Tanah Abang,1,,JAK.13-R04_shp
JAK.14,SH,JAK.14-R01,Tanah Abang - Meruya,0,,JAK.14-R01_shp
JAK.14,SH,JAK.14-R02,Meruya - Tanah Abang,1,,JAK.14-R02_shp
JAK.15,SH,JAK.15-R04,Tanjung Priok - Bulak Turi,1,,JAK.15-R04_shp
JAK.15,SH,JAK.15-R05,Rusun Marunda - Tanjung Priok,0,,JAK.15-R05_shp
JAK.16,SH,JAK.16-R01,Cililitan - Condet,0,,JAK.16-R01_shp
JAK.16,SH,JAK.16-R02,Condet - Cililitan,1,,JAK.16-R02_shp
JAK.17,SH,JAK.17-R01,Pulo Gadung - Senen,1,,JAK.17-R01_shp
JAK.17,SH,JAK.17-R02,Senen - Pulo Gadung,1,,JAK.17-R02_shp
JAK.18,SH,JAK.18-R01,Kalibata - Kuningan,0,,JAK.18-R01_shp
JAK.18,SH,JAK.18-R02,Kuningan - Kalibata,1,,JAK.18-R02_shp
JAK.19,SH,JAK.19-R01,Pinang Ranti - Kampung Rambutan,0,,JAK.19-R01_shp
JAK.19,SH,JAK.19-R02,Kampung Rambutan - Pinang Ranti,1,,JAK.19-R02_shp
JAK.20,SH,JAK.20-R01,Cawang Uki - Lubang Buaya,0,,JAK.20-R01_shp
JAK.20,SH,JAK.20-R02,Lubang Buaya - Cawang Uki,1,,JAK.20-R02_shp
JAK.21,SH,JAK.21-R01,Cililitan - Dwikora,0,,JAK.21-R01_shp
JAK.21,SH,JAK.21-R02,Dwikora - Cililitan,1,,JAK.21-R02_shp
JAK.22,SH,JAK.22-R03,Dwikora - Penas Kalimalang,0,,6hs4
JAK.22,SH,JAK.22-R04,Penas Kalimalang - Dwikora,1,,meqn
JAK.23,SH,JAK.23-R01,Senen - Pisangan Baru,0,,JAK.23-R01_shp
JAK.23,SH,JAK.23-R02,Pisangan Baru - Senen,1,,JAK.23-R02_shp
JAK.23,SH,JAK.23-R03,Senen - Pisangan Baru,0,,JAK.23-R03_shp
JAK.24,SH,JAK.24-R01,Pulo Gadung - Senen Via Kelapa Gading,0,,JAK.24-R01_shp
JAK.24,SH,JAK.24-R02,Senen - Pulo Gadung Via Kelapa Gading,1,,JAK.24-R02_shp
JAK.25,SH,JAK.25-R01,Kampung Rambutan - Kalisari,0,,JAK.25-R01_shp
JAK.25,SH,JAK.25-R03,Kalisari - Kampung Rambutan,1,,JAK.25-R03_shp
JAK.26,SH,JAK.26-R01,Duren Sawit - Rawamangun,0,,JAK.26-R01_shp
JAK.26,SH,JAK.26-R02,Rawamangun - Duren Sawit,1,,JAK.26-R02_shp
JAK.27,SH,JAK.27-R01,Pulo Gebang - Rorotan,0,,JAK.27-R01_shp
JAK.27,SH,JAK.27-R02,Rorotan - Pulo Gebang,1,,JAK.27-R02_shp
JAK.28,SH,JAK.28-R03,Kampung Rambutan - Taman Wiladatika,0,,lc16
JAK.28,SH,JAK.28-R04,Taman Wiladatika - Kampung Rambutan,1,,2cbu
JAK.29,SH,JAK.29-R03,Sukapura - Tanjung Priok,0,,JAK.29-R03_shp
JAK.29,SH,JAK.29-R04,Tanjung Priok - Sukapura,1,,JAK.29-R04_shp
JAK.30,SH,JAK.30-R01,Grogol - Meruya Via Roxy,0,,JAK.30-R01_shp
JAK.30,SH,JAK.30-R02,Meruya - Grogol Via Roxy,1,,JAK.30-R02_shp
JAK.31,SH,JAK.31-R01,Blok M - Andara,0,,JAK.31-R01_shp
JAK.31,SH,JAK.31-R02,Andara - Blok M,1,,JAK.31-R02_shp
JAK.32,SH,JAK.32-R01,Lebak Bulus - Petukangan,0,,JAK.32-R01_shp
JAK.32,SH,JAK.32-R02,Petukangan - Lebak Bulus,1,,JAK.32-R02_shp
JAK.33,SH,JAK.33-R03,Kota - Pulo Gadung,1,,JAK.33-R03_shp
JAK.33,SH,JAK.33-R04,Pulo Gadung - Kota,0,,JAK.33-R04_shp
JAK.34,SH,JAK.34-R01,Klender - Rawamangun,0,,JAK.34-R01_shp
JAK.34,SH,JAK.34-R02,Rawamangun - Klender,1,,JAK.34-R02_shp
JAK.35,SH,JAK.35-R03,Rawamangun - Pangkalan Jati,1,,JAK.35-R03_shp
