trip_id,start_time,end_time,headway_secs,exact_times
10A-R01,05:00:00,06:00:00,1200,0
10A-R01,06:00:00,09:00:00,600,0
10A-R01,09:00:00,16:00:00,1200,0
10A-R01,16:00:00,20:00:00,600,0
10A-R01,20:00:00,22:00:00,1200,0
10A-R02,05:00:00,06:00:00,1200,0
10A-R02,06:00:00,09:00:00,600,0
10A-R02,09:00:00,16:00:00,1200,0
10A-R02,16:00:00,20:00:00,600,0
10A-R02,20:00:00,22:00:00,1200,0
10B-R01,05:00:00,06:00:00,1200,0
10B-R01,06:00:00,09:00:00,600,0
10B-R01,09:00:00,16:00:00,1200,0
10B-R01,16:00:00,20:00:00,600,0
10B-R01,20:00:00,22:00:00,1200,0
10B-R02,05:00:00,06:00:00,1200,0
10B-R02,06:00:00,09:00:00,600,0
10B-R02,09:00:00,16:00:00,1200,0
10B-R02,16:00:00,20:00:00,600,0
10B-R02,20:00:00,22:00:00,1200,0
10D-R01,06:00:00,09:00:00,300,0
10D-R01,16:00:00,20:00:00,300,0
10D-R02,06:00:00,09:00:00,300,0
10D-R02,16:00:00,20:00:00,300,0
10H-R03,05:00:00,06:00:00,600,0
10H-R03,06:00:00,09:00:00,300,0
10H-R03,09:00:00,16:00:00,600,0
10H-R03,16:00:00,20:00:00,300,0
10H-R03,20:00:00,22:00:00,600,0
10H-R04,05:00:00,06:00:00,600,0
10H-R04,06:00:00,09:00:00,300,0
10H-R04,09:00:00,16:00:00,600,0
10H-R04,16:00:00,20:00:00,300,0
10H-R04,20:00:00,22:00:00,600,0
10K-R01,05:00:00,06:00:00,1200,0
10K-R01,06:00:00,09:00:00,600,0
10K-R01,09:00:00,16:00:00,1200,0
10K-R01,16:00:00,20:00:00,600,0
10K-R01,20:00:00,22:00:00,1200,0
10K-R03,05:00:00,06:00:00,1200,0
10K-R03,06:00:00,09:00:00,600,0
10K-R03,09:00:00,16:00:00,1200,0
10K-R03,16:00:00,20:00:00,600,0
10K-R03,20:00:00,22:00:00,1200,0
10-R01,05:00:00,06:00:00,600,0
10-R01,06:00:00,09:00:00,300,0
10-R01,09:00:00,16:00:00,600,0
10-R01,16:00:00,20:00:00,300,0
10-R01,20:00:00,22:00:00,600,0
10-R02,05:00:00,06:00:00,600,0
10-R02,06:00:00,09:00:00,300,0
10-R02,09:00:00,16:00:00,600,0
10-R02,16:00:00,20:00:00,300,0
10-R02,20:00:00,22:00:00,600,0
11B-R01,05:00:00,06:00:00,1200,0
11B-R01,06:00:00,09:00:00,600,0
11B-R01,09:00:00,16:00:00,1200,0
11B-R01,16:00:00,20:00:00,600,0
11B-R01,20:00:00,22:00:00,1200,0
11B-R02,05:00:00,06:00:00,1200,0
11B-R02,06:00:00,09:00:00,600,0
11B-R02,09:00:00,16:00:00,1200,0
11B-R02,16:00:00,20:00:00,600,0
11B-R02,20:00:00,22:00:00,1200,0
11C-R03,05:00:00,06:00:00,1200,0
11C-R03,06:00:00,09:00:00,600,0
11C-R03,09:00:00,16:00:00,1200,0
11C-R03,16:00:00,20:00:00,600,0
11C-R03,20:00:00,22:00:00,1200,0
11C-R04,05:00:00,06:00:00,1200,0
11C-R04,06:00:00,09:00:00,600,0
11C-R04,09:00:00,16:00:00,1200,0
11C-R04,16:00:00,20:00:00,600,0
11C-R04,20:00:00,22:00:00,1200,0
11D-R03,05:00:00,06:00:00,1200,0
11D-R03,06:00:00,09:00:00,600,0
11D-R03,09:00:00,16:00:00,1200,0
11D-R03,16:00:00,20:00:00,600,0
11D-R03,20:00:00,22:00:00,1200,0
11D-R02,05:00:00,06:00:00,1200,0
