bus_code,koridor,gpsdatetime,latitude,longitude,color,gpsheading,gpsspeed,is_new
MYS23375,D21,21/9/2023 23:53:30,-6.343000000000001,106.87143499999988,Putih,187,7.1,0
MYS23375,D21,21/9/2023 23:53:34,-6.343087000000004,106.87141799999957,Putih,148,8.8,0
MYS23375,D21,21/9/2023 23:53:38,-6.343165000000004,106.87152199999966,Putih,98,18.1,0
MYS23375,D21,21/9/2023 23:53:42,-6.343167000000001,106.87169999999988,Putih,97,18.3,0
MYS23375,D21,21/9/2023 23:53:53,-6.343192000000001,106.87183199999988,Putih,97,0.0,0
MYS23375,D21,21/9/2023 23:54:14,-6.343234999999997,106.87189500000022,Putih,154,11.5,0
MYS23375,D21,21/9/2023 23:54:18,-6.343388000000004,106.87188799999966,Putih,188,17.7,0
MYS23375,D21,21/9/2023 23:54:22,-6.343571999999996,106.87184300000044,Putih,198,18.6,0
MYS23375,D21,21/9/2023 23:54:26,-6.343777000000005,106.87179699999956,Putih,193,17.5,0
MYS23375,D21,21/9/2023 23:54:31,-6.344067999999997,106.87173800000022,Putih,190,24.5,0
MYS23375,D21,21/9/2023 23:54:35,-6.344287,106.871693,Putih,191,18.6,0
MYS23375,D21,21/9/2023 23:54:39,-6.344432000000001,106.87164499999987,Putih,232,13.6,0
MYS23375,D21,21/9/2023 23:54:43,-6.344477000000004,106.87149799999968,Putih,260,13.2,0
MYS23375,D21,21/9/2023 23:54:47,-6.344502999999997,106.87138800000034,Putih,257,12.6,0
MYS23375,D21,21/9/2023 23:54:51,-6.344542999999996,106.87126700000032,Putih,266,10.4,0
MYS23375,D21,21/9/2023 23:54:56,-6.3445180000000025,106.87114699999978,Putih,300,7.1,0
MYS23375,D21,21/9/2023 23:55:00,-6.344487000000003,106.87109699999978,Putih,300,4.1,0
MYS23375,D21,21/9/2023 23:55:04,-6.344463000000002,106.8710469999998,Putih,300,3.1,1
MYS23375,D21,21/9/2023 23:55:08,-6.3444480000000025,106.87102699999978,Putih,300,1.5,1
MYS23375,D21,21/9/2023 23:55:11,-6.344447000000002,106.87102299999978,Putih,300,0.0,1
TJ0843,4B,14/9/2023 20:06:14,-6.211537999999996,106.85475300000044,,117,18.1,0
